filename,microcode
Tencent_FX21A1600076J_2022-01-08-00-56,
Tencent_LC21B2490007N_2022-01-17-09-55,revision=0x7000020
Tencent_LC2190290004V_2022-01-08-02-16,revision=0x7000020
Tencent_LC2172690000Y_2022-01-05-10-25,
Tencent_LC21B239000BN_2022-01-17-09-55,revision=0x7000020
Tencent_FX21B1300052G_2021-12-30-09-46,revision=0xd0002c1
Tencent_LC21B049000G2_2022-01-17-09-55,revision=0xd0002c1
Tencent_LN2172410001F_2022-01-08-00-56,revision=0xd0002c1
Tencent_LC21C12900064_2022-01-17-09-55,
Tencent_LC21A1090001L_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC21C1890003L_2022-01-17-09-52,
Tencent_LC21B0690007D_2022-01-17-09-55,revision=0x7000020
Tencent_LC21B069000FC_2022-01-17-09-55,revision=0x7000020
Tencent_LC21C209000BD_2022-01-17-09-51,revision=0x7000020
Tencent_FX21B050001PD_2021-12-30-09-46,revision=0xd0002c1
Tencent_LC21B2190001Y_2022-01-08-02-16,revision=0x7000020
Tencent_LC2191790006B_2022-01-08-02-16,
Tencent_LC2152390000J_2022-01-17-09-55,
Tencent_LC21C1090002E_2022-01-08-02-16,revision=0x7000020
Tencent_FX21B130004VM_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC2190290002K_2022-01-08-02-12,revision=0x7000020
Tencent_LC21A1790001L_2022-01-08-02-16,revision=0x7000020
Tencent_LC21B099000DK_2022-01-08-02-16,revision=0x7000020
Tencent_LC21C10900016_2022-01-17-09-55,revision=0x7000020
Tencent_LC21C1790000B_2022-01-08-02-16,revision=0x7000020
Tencent_LC21920900061_2022-01-17-09-55,revision=0x7000020
Tencent_LC2152090000G_2022-01-17-09-55,
Tencent_FX21B050001PD_2022-01-17-09-55,revision=0xd0002c1
Tencent_LC21C11800171_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC2160380004B_2022-01-08-02-16,
Tencent_LC21B0390007Y_2022-01-08-02-16,
Tencent_LC21C189000L5_2022-01-17-09-55,revision=0x7000020
Tencent_LC21A2190004A_2022-01-17-09-55,
Tencent_LC21B09900094_2022-01-17-09-55,revision=0x7000020
Tencent_LC21B308000DL_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC21B119000FK_2022-01-17-09-53,revision=0xd0002c1
Tencent_LC2182090002M_2022-01-17-09-55,revision=0xd0002c1
Tencent_LC21920900061_2022-01-08-02-14,revision=0x7000020
Tencent_LC2172490001A_2022-01-17-10-00,revision=0xd000280
Tencent_LC2192790002V_2022-01-08-00-51,
Tencent_LC21A06900030_2022-01-08-02-15,revision=0x7000020
Tencent_LC21C1790005X_2022-01-17-09-55,revision=0x7000020
Tencent_LC21A199000C9_2022-01-08-00-56,
Tencent_LC21C2290006N_2022-01-13-13-18,revision=0x7000020
Tencent_LC21A21900059_2022-01-08-00-53,
Tencent_FX21B0500022R_2022-01-08-00-56,
Tencent_LC21B2990001Q_2022-01-17-09-55,
Tencent_LC21B1590002W_2022-01-07-17-23,
Tencent_LC2092600000C_2022-01-17-09-55,revision=0x7000020
Tencent_FX21A260008A2_2022-01-08-00-56,
Tencent_LC21A1090005K_2021-12-30-14-26,revision=0xd0002c1
Tencent_LC21A199000DK_2022-01-08-00-56,revision=0xd0002c1
Tencent_LC21C169000BG_2022-01-17-09-54,
Tencent_LC21A24900034_2022-01-17-09-55,
Tencent_LC21820900036_2022-01-08-00-54,revision=0xd0002c1
Tencent_LC21A1490009M_2022-01-08-02-16,
Tencent_LC21B2190000H_2022-01-08-02-12,revision=0x7000020
Tencent_LC2131690002Q_2022-01-07-17-23,revision=0xd000280
Tencent_LC21C2290000H_2022-01-17-09-53,revision=0x7000020
Tencent_FX21C150005ED_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC21A0690011A_2022-01-08-02-16,
Tencent_LC21A21900026_2022-01-08-00-56,
Tencent_LC21C189000WK_2022-01-17-09-55,revision=0x7000020
Tencent_LC2152580000G_2022-01-08-02-16,revision=0x7000020
Tencent_LC21C2190002D_2022-01-17-09-55,revision=0x7000020
Tencent_LC21C129000A9_2022-01-08-02-16,revision=0x7000020
Tencent_LC21B049000G2_2022-01-07-17-23,revision=0xd0002c1
Tencent_LC21405900006_2022-01-17-09-55,revision=0xd000250
Tencent_LC21A13900003_2022-01-08-02-16,
Tencent_LC21B2490007N_2022-01-08-02-16,revision=0x7000020
Tencent_LC21B0390007Y_2022-01-17-09-55,
Tencent_FX21B12000446_2022-01-17-09-55,revision=0x7000020
Tencent_LC21B29900015_2022-01-07-17-18,
Tencent_LC21B2190001Y_2022-01-17-09-50,revision=0x7000020
Tencent_LC21C15800056_2022-01-17-09-55,revision=0xd0002c1
Tencent_LC21523900016_2022-01-17-09-55,revision=0xd000250
Tencent_LC2182890000L_2022-01-08-00-56,revision=0xd0002c1
Tencent_LC2192090009A_2022-01-17-09-53,revision=0x7000020
Tencent_LC20A0400001B_2022-01-17-09-55,revision=0x7000020
Tencent_FX21B05000227_2021-12-29-21-43,
